検査日,2019/02/12
開始時刻,8:05:00,終了時刻,9:26:38
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],833.9
検査開始位置[mm],258.1,検査終了位置[mm],1092.0
列数,2
周長[mm],550.0,2逓倍,0
検査距離[m],8505.4
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,717
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,1,1023.1, 2.5, 1.5,中欠点,-,,
2,5,767.1, 2.9, 2.1,中欠点,-,,
3,5,756.5, 3.3, 3.8,重欠点,-,,
4,5,756.5, 3.8, 4.9,重欠点,-,,
5,1,466.2,13.0, 1.6,軽欠点,-,,
6,5,380.9,13.4, 2.2,重欠点,-,,
7,5,316.9,13.9, 2.5,重欠点,-,,
8,5,327.6,14.4, 2.7,重欠点,-,,
9,1,466.2,18.3, 1.2,軽欠点,-,,
10,5,370.2,18.7, 2.5,重欠点,-,,
11,5,316.9,19.2, 2.8,重欠点,-,,
12,5,316.9,19.7, 2.7,重欠点,-,,
13,3,551.5,23.0, 2.4,重欠点,-,,
14,5,348.9,23.5, 2.9,重欠点,-,,
15,5,316.9,24.0, 2.7,重欠点,-,,
16,5,316.9,24.5, 3.8,重欠点,-,,
17,1,551.5,48.9, 1.9,中欠点,-,,
18,5,338.3,48.9, 2.5,重欠点,-,,
19,5,338.3,49.4, 3.3,重欠点,-,,
20,5,338.3,49.9, 4.2,重欠点,-,,
21,1,551.5,54.2, 1.8,軽欠点,-,,
22,5,359.6,54.2, 3.2,重欠点,-,,
23,5,359.6,54.7, 2.5,重欠点,-,,
24,5,359.6,55.2, 3.2,重欠点,-,,
25,1,466.2,62.1, 1.9,中欠点,-,,
26,5,348.9,62.4, 2.4,重欠点,-,,
27,5,284.9,62.9, 2.9,重欠点,-,,
28,5,348.9,63.3, 1.6,中欠点,-,,
29,3,572.9,66.9, 1.2,軽欠点,-,,
30,5,284.9,67.2, 3.1,重欠点,-,,
31,5,284.9,67.7, 2.9,重欠点,-,,
32,5,284.9,68.1, 3.1,重欠点,-,,
33,2,551.5,72.1, 2.4,軽欠点,-,,
34,5,284.9,72.5, 2.9,重欠点,-,,
35,5,284.9,72.9, 2.5,重欠点,-,,
36,5,306.3,73.4, 3.6,重欠点,-,,
37,4,476.9,82.2, 2.0,中欠点,-,,
38,5,348.9,82.5, 1.8,中欠点,-,,
39,5,348.9,83.0, 2.9,重欠点,-,,
40,5,348.9,83.5, 3.3,重欠点,-,,
41,2,551.5,87.7, 1.2,軽欠点,-,,
42,5,348.9,87.8, 2.0,重欠点,-,,
43,5,327.6,88.3, 3.2,重欠点,-,,
44,5,327.6,88.8, 2.9,重欠点,-,,
45,3,284.9,100.4, 1.9,軽欠点,-,,
46,5,391.6,100.8, 2.1,中欠点,-,,
47,5,327.6,101.3, 3.3,重欠点,-,,
48,5,295.6,101.7, 4.6,重欠点,-,,
49,1,562.2,106.4, 1.2,軽欠点,-,,
50,5,327.6,106.5, 3.2,重欠点,-,,
51,5,327.6,107.0, 4.3,重欠点,-,,
52,5,327.6,107.5, 5.0,重欠点,-,,
53,1,466.2,108.3, 1.9,中欠点,-,,
54,5,359.6,108.5, 3.1,重欠点,-,,
55,5,338.3,108.9, 4.0,重欠点,-,,
56,5,327.6,109.4, 5.0,重欠点,-,,
57,4,551.5,111.4, 2.4,重欠点,-,,
58,5,338.3,111.8, 3.1,重欠点,-,,
59,5,338.3,112.3, 2.7,重欠点,-,,
60,5,338.3,112.8, 3.3,重欠点,-,,
61,3,540.9,113.3, 1.9,中欠点,-,,
62,5,316.9,113.7, 3.1,重欠点,-,,
63,1,551.5,128.7, 1.3,軽欠点,-,,
64,5,338.3,129.1, 2.9,重欠点,-,,
65,5,338.3,129.6, 2.4,重欠点,-,,
66,5,316.9,130.1, 3.5,重欠点,-,,
67,5,756.5,130.5, 6.5,重欠点,-,,
68,5,391.6,131.0, 2.3,重欠点,-,,
69,1,466.2,137.3, 1.3,軽欠点,-,,
70,1,562.2,140.2, 1.2,軽欠点,-,,
71,5,348.9,140.6, 2.9,重欠点,-,,
72,3,562.2,143.3, 1.8,中欠点,-,,
73,5,316.9,143.5, 2.4,重欠点,-,,
74,5,604.9,144.0, 2.8,重欠点,-,,
75,5,316.9,144.5, 3.6,重欠点,-,,
76,1,284.9,145.0, 1.3,軽欠点,-,,
77,5,338.3,145.4, 3.7,重欠点,-,,
78,5,316.9,145.9, 3.8,重欠点,-,,
79,5,316.9,146.4, 4.6,重欠点,-,,
80,2,476.9,147.4, 1.3,軽欠点,-,,
81,5,316.9,147.8, 2.0,重欠点,-,,
82,5,316.9,148.3, 3.8,重欠点,-,,
83,5,316.9,148.8, 3.3,重欠点,-,,
84,1,540.9,150.7, 1.2,軽欠点,-,,
85,5,348.9,151.2, 3.8,重欠点,-,,
86,5,306.3,151.7, 4.4,重欠点,-,,
87,5,348.9,152.2, 4.0,重欠点,-,,
88,1,466.2,160.1, 1.6,軽欠点,-,,
89,5,380.9,160.3, 1.2,軽欠点,-,,
90,5,338.3,160.8, 3.0,重欠点,-,,
91,5,359.6,161.3, 3.9,重欠点,-,,
92,1,476.9,163.9, 1.2,軽欠点,-,,
93,5,359.6,164.2, 2.3,重欠点,-,,
94,5,359.6,164.6, 3.2,重欠点,-,,
95,5,476.9,165.1, 3.8,重欠点,-,,
96,1,476.9,166.6, 1.2,軽欠点,-,,
97,5,348.9,167.0, 2.3,重欠点,-,,
98,5,348.9,167.5, 2.6,重欠点,-,,
99,5,348.9,168.0, 3.4,重欠点,-,,
100,1,551.5,174.4, 1.9,中欠点,-,,
101,5,455.6,174.7, 1.4,軽欠点,-,,
102,5,284.9,175.2, 2.7,重欠点,-,,
103,5,284.9,175.7, 3.4,重欠点,-,,
104,2,540.9,178.7, 2.1,中欠点,-,,
105,5,284.9,179.0, 3.3,重欠点,-,,
106,5,284.9,179.5, 2.9,重欠点,-,,
107,5,284.9,180.0, 3.4,重欠点,-,,
108,3,551.5,181.6, 1.8,中欠点,-,,
109,5,444.9,181.9, 1.6,軽欠点,-,,
110,5,466.2,182.4, 2.1,重欠点,-,,
111,5,284.9,182.9, 3.3,重欠点,-,,
112,2,980.4,184.5, 1.7,中欠点,-,,
113,5,713.8,184.8, 2.3,重欠点,-,,
114,5,713.8,185.3, 2.6,重欠点,-,,
115,5,713.8,185.8, 2.9,重欠点,-,,
116,2,466.2,186.4, 1.8,中欠点,-,,
117,5,402.2,186.7, 1.2,軽欠点,-,,
118,5,306.3,187.2, 2.7,重欠点,-,,
119,5,391.6,187.7, 3.3,重欠点,-,,
120,1,466.2,189.5, 2.0,中欠点,-,,
121,5,402.2,189.6, 2.0,重欠点,-,,
122,5,402.2,190.1, 2.5,重欠点,-,,
123,5,402.2,190.6, 3.7,重欠点,-,,
124,1,466.2,191.9, 1.9,重欠点,-,,
125,5,370.2,192.0, 3.4,重欠点,-,,
126,5,348.9,192.5, 2.7,重欠点,-,,
127,5,348.9,193.0, 3.6,重欠点,-,,
128,1,540.9,199.6, 2.9,中欠点,-,,
129,5,338.3,199.7, 2.4,重欠点,-,,
130,5,327.6,200.2, 4.7,重欠点,-,,
131,5,327.6,200.6, 5.9,重欠点,-,,
132,1,466.2,203.7, 2.4,重欠点,-,,
133,5,359.6,204.0, 2.9,重欠点,-,,
134,5,327.6,204.5, 5.6,重欠点,-,,
135,5,338.3,205.0, 6.8,重欠点,-,,
136,2,540.9,206.0, 2.1,重欠点,-,,
137,5,745.8,206.4, 2.7,重欠点,-,,
138,5,735.2,206.9, 5.4,重欠点,-,,
139,5,735.2,207.4, 3.9,重欠点,-,,
140,1,1012.4,209.4, 2.1,軽欠点,-,,
141,5,767.1,209.8, 1.6,中欠点,-,,
142,5,767.1,210.2, 5.7,重欠点,-,,
143,5,767.1,210.7, 6.3,重欠点,-,,
144,5,306.3,211.2, 3.8,重欠点,-,,
145,5,306.3,211.7, 4.3,重欠点,-,,
146,1,466.2,221.2, 1.2,軽欠点,-,,
147,5,316.9,221.3, 2.7,重欠点,-,,
148,5,316.9,221.8, 3.0,重欠点,-,,
149,5,316.9,222.2, 3.7,重欠点,-,,
150,2,991.1,225.2, 2.0,軽欠点,-,,
151,5,788.5,225.6, 3.5,重欠点,-,,
152,5,745.8,226.1, 4.5,重欠点,-,,
153,5,745.8,226.6, 2.8,重欠点,-,,
154,1,540.9,228.1, 1.9,中欠点,-,,
155,5,359.6,228.5, 3.1,重欠点,-,,
156,5,338.3,229.0, 2.5,重欠点,-,,
157,5,327.6,229.4, 3.6,重欠点,-,,
158,1,466.2,232.2, 2.3,重欠点,-,,
159,5,306.3,232.3, 2.1,重欠点,-,,
160,5,306.3,232.8, 2.8,重欠点,-,,
161,5,306.3,233.3, 3.2,重欠点,-,,
162,3,466.2,242.0, 2.0,軽欠点,-,,
163,5,756.5,242.4, 3.4,重欠点,-,,
164,5,551.5,242.9, 2.0,重欠点,-,,
165,5,626.2,243.4, 2.3,重欠点,-,,
166,1,1033.8,251.6, 1.9,中欠点,-,,
167,5,777.8,252.0, 5.2,重欠点,-,,
168,5,745.8,252.5, 6.9,重欠点,-,,
169,5,745.8,253.0, 3.4,重欠点,-,,
170,5,316.9,253.5, 2.4,重欠点,-,,
171,5,316.9,253.9, 3.0,重欠点,-,,
172,5,316.9,254.4, 4.0,重欠点,-,,
173,2,1023.1,256.8, 2.2,軽欠点,-,,
174,5,756.5,257.3, 3.5,重欠点,-,,
175,5,756.5,257.8, 4.9,重欠点,-,,
176,5,756.5,258.3, 5.9,重欠点,-,,
177,1,1001.8,263.8, 1.2,軽欠点,-,,
178,5,1044.4,264.0, 3.5,重欠点,-,,
179,5,745.8,264.5, 5.0,重欠点,-,,
180,5,1055.1,265.0, 5.9,重欠点,-,,
181,1,1001.8,270.5, 1.3,軽欠点,-,,
182,5,905.8,270.7, 1.9,中欠点,-,,
183,5,809.8,271.2, 4.3,重欠点,-,,
184,5,777.8,271.7, 5.5,重欠点,-,,
185,2,540.9,274.8, 1.6,中欠点,-,,
186,5,359.6,275.1, 2.2,重欠点,-,,
187,5,359.6,275.5, 2.7,重欠点,-,,
188,5,359.6,276.0, 3.2,重欠点,-,,
189,1,466.2,283.4, 1.3,軽欠点,-,,
190,5,284.9,283.7, 2.0,重欠点,-,,
191,5,284.9,284.2, 2.5,重欠点,-,,
192,5,284.9,284.7, 3.2,重欠点,-,,
193,1,284.9,285.6, 1.2,軽欠点,-,,
194,5,412.9,285.6, 2.1,重欠点,-,,
195,5,284.9,286.1, 2.8,重欠点,-,,
196,5,306.3,286.6, 3.5,重欠点,-,,
197,1,540.9,291.3, 1.6,中欠点,-,,
