検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
99,5,380.9,1417.6,19.8,スジ欠点,-,,
100,5,380.9,1418.0,25.5,スジ欠点,-,,
101,5,380.9,1418.4,46.2,スジ欠点,-,,
102,5,391.6,1418.9,36.1,スジ欠点,-,,
103,5,391.6,1419.4,45.8,スジ欠点,-,,
104,5,391.6,1419.8,44.9,スジ欠点,-,,
105,5,348.9,1420.3,10.6,スジ欠点,-,,
106,5,348.9,1420.7,22.0,スジ欠点,-,,
107,5,359.6,1421.2,17.6,スジ欠点,-,,
108,5,359.6,1421.7,30.8,スジ欠点,-,,
109,5,338.3,1422.1,11.0,スジ欠点,-,,
110,5,338.3,1422.6,16.7,スジ欠点,-,,
111,5,348.9,1423.0,10.6,スジ欠点,-,,
112,5,370.2,1423.5,41.8,スジ欠点,-,,
113,5,380.9,1424.0,21.1,スジ欠点,-,,
114,5,391.6,1424.4,38.7,スジ欠点,-,,
115,5,391.6,1424.9,71.7,スジ欠点,-,,
116,5,391.6,1425.3,31.7,スジ欠点,-,,
117,5,380.9,1425.8,27.7,スジ欠点,-,,
118,5,799.1,1426.3,25.5,スジ欠点,-,,
119,5,809.8,1426.8, 3.5,スジ欠点,-,,
120,5,338.3,1427.2, 7.5,スジ欠点,-,,
121,5,604.9,1427.7,17.2,スジ欠点,-,,
